UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
R,1,2015,999,320090632,157555691,162534941,122487500,124741834,20285129,22101970,2012571,1975111,8382244,9228106,381533,368400,4006714,4119520,126040348,128373412,22030285,23942460,3275132,3305526,9858023,10713665,746370,739996,129244626,134864996,97532343,100404759,18976766,20743034,1162988,1197039,8103310,8947974,278671,273099,3190548,3299091,100358737,103308770,20356710,22207334,2071726,2175045,9352690,10205556,565414,566783,28311065,27669945,24955157,24337075,1308363,1358936,849583,778072,278934,280132,102862,95301,816166,820429,25681611,25064642,1673575,1735126,1203406,1130481,505333,508109,180956,173213
R,1,2015,0,3948684,2018039,1930645,1440725,1377718,307899,294690,32988,31591,104010,100047,6400,6106,126017,120493,1556877,1488774,376681,360475,57668,55194,150099,144096,15383,14693,1497984,1433409,1000521,956865,277596,265701,17121,16410,97649,93964,4237,4047,100860,96422,1093996,1046221,333600,319252,33201,31786,135915,130537,10775,10296,520055,497236,440204,420853,30303,28989,15867,15181,6361,6083,2163,2059,25157,24071,462881,442553,43081,41223,24467,23408,14184,13559,4608,4397
R,1,2015,1,3964648,2025458,1939190,1451037,1384979,306920,297944,32950,31730,106657,101851,6420,6123,121474,116563,1562773,1492159,371977,360959,57315,55188,151831,144665,15220,14506,1508390,1440392,1012894,962421,276780,268866,17074,16474,100409,95689,4271,4012,96962,92930,1102536,1048308,329448,319914,32983,31759,137997,131208,10720,10128,517068,498798,438143,422558,30140,29078,15876,15256,6248,6162,2149,2111,24512,23633,460237,443851,42529,41045,24332,23429,13834,13457,4500,4378
R,1,2015,2,3974394,2030061,1944333,1452167,1386020,307497,298510,32946,31736,109479,105236,6445,6168,121527,116663,1563933,1493270,372535,361524,57310,55204,154732,148161,15253,14560,1511519,1444183,1012732,962255,277251,269361,17042,16447,103229,99072,4299,4054,96966,92994,1102357,1048175,329862,320375,32930,31730,140897,134711,10751,10182,518542,500150,439435,423765,30246,29149,15904,15289,6250,6164,2146,2114,24561,23669,461576,445095,42673,41149,24380,23474,13835,13450,4502,4378
R,1,2015,3,3986051,2038037,1948014,1466887,1396845,307899,298530,32982,31881,103838,100263,6204,5903,120227,114592,1577508,1502203,372554,360331,57463,55254,147996,142249,14876,14135,1512188,1442653,1019470,967052,278141,269943,17187,16399,97661,94360,4080,3846,95649,91053,1107939,1051195,330401,319852,33135,31567,134233,129132,10394,9816,525849,505361,447417,429793,29758,28587,15795,15482,6177,5903,2124,2057,24578,23539,469569,451008,42153,40479,24328,23687,13763,13117,4482,4319
R,1,2015,4,4050635,2069529,1981106,1494305,1425863,311499,301960,32248,31400,104005,100108,6178,5774,121294,116001,1606004,1532598,376472,364565,57213,55517,148414,142100,14906,13983,1530192,1461639,1031490,980227,283223,274183,17223,16908,97938,94510,4124,3868,96194,91943,1120494,1065191,335580,324576,33380,32569,134707,129328,10485,9857,539337,519467,462815,445636,28276,27777,15025,14492,6067,5598,2054,1906,25100,24058,485510,467407,40892,39989,23833,22948,13707,12772,4421,4126
R,1,2015,5,3984752,2033253,1951499,1465774,1400494,306254,297992,32848,31837,104230,100406,6096,5936,118051,114834,1574399,1506020,369723,360440,56811,55230,147577,141970,14454,14092,1512716,1449572,1021491,972455,277548,270156,17401,16953,98210,94623,4098,3939,93968,91446,1108425,1056882,329011,320710,32979,32242,134100,129151,10221,9902,520537,501927,444283,428039,28706,27836,15447,14884,6020,5783,1998,1997,24083,23388,465974,449138,40712,39730,23832,22988,13477,12819,4233,4190
R,1,2015,6,4093910,2089932,2003978,1510029,1440950,317648,309142,33371,32109,105495,101821,6212,6106,117177,113850,1617623,1545550,380726,371237,57279,55183,148026,142591,14687,14147,1557445,1492580,1053979,1003237,288329,281122,17689,17225,99483,96085,4171,4079,93794,90832,1140411,1087132,339852,331777,33353,32110,134984,129999,10400,9928,532487,511398,456050,437713,29319,28020,15682,14884,6012,5736,2041,2027,23383,23018,477212,458418,40874,39460,23926,23073,13042,12592,4287,4219
R,1,2015,7,4144834,2116144,2028690,1534537,1464479,318285,310135,34138,33314,108085,103580,6252,6085,114847,111097,1639875,1566315,379808,370439,58001,56340,149904,143497,14620,14028,1576664,1510164,1071365,1019540,289403,282305,17854,17770,102117,98023,4193,4041,91732,88485,1155921,1100946,339548,331335,33439,32711,136900,131182,10384,9863,539480,518526,463172,444939,28882,27830,16284,15544,5968,5557,2059,2044,23115,22612,483954,465369,40260,39104,24562,23629,13004,12315,4236,4165
R,1,2015,8,4143752,2117077,2026675,1541698,1470745,317182,307379,34491,32799,106230,102196,6058,5952,111418,107604,1643868,1569389,376216,365150,57900,55398,147162,140874,14245,13738,1582478,1512330,1081637,1028287,289165,280064,18084,17465,100308,96632,4091,3958,89193,85924,1163792,1107368,337428,327399,33416,32184,134439,128823,10095,9663,534599,514345,460061,442458,28017,27315,16407,15334,5922,5564,1967,1994,22225,21680,480076,462021,38788,37751,24484,23214,12723,12051,4150,4075
